model,term,estimate,cluster_standard_error,statistic,cluster_df,p_value,ci_low,ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
clustered_choice_logit,(Intercept),0.4399116292560389,0.161731583423712,2.7200106493951632,183,0.007157185565587841,0.12081328810720032,0.7590099704048774,1.5525700106819507,1.128414204345154,2.136160311335152
clustered_choice_logit,waveposttest,0.17537073488101487,0.11126641560559729,1.5761335882576306,183,0.11672215353898248,-0.044159228863332206,0.3949006986253619,1.1916879350118832,0.9568015949127175,1.4842367968486028
clustered_choice_logit,purposeimmediate_consumption,0.5640713390411505,0.25855596741343145,2.181621815516636,183,0.03041216784945864,0.053937334604866494,1.0742053434774346,1.7578146107057844,1.055418461867804,2.9276654874336985
clustered_choice_logit,purposefamily_support,-0.327933938652121,0.272772480516659,-1.2022251586046384,183,0.23082963121058409,-0.8661172928327638,0.21024941552852178,0.7204106094292486,0.4205813774559328,1.2339857967976713
clustered_choice_logit,purposelearning_or_education,0.06811978309760584,0.34013115567392715,0.2002750467320027,183,0.8414878683862878,-0.6029630397561202,0.7392026059513318,1.070493527830096,0.5471878921945081,2.0942648941485955
clustered_choice_logit,purposefriends_or_gifts,0.2517918373976878,0.2735348114409904,0.9205111264311847,183,0.35851756768768794,-0.28789560477993775,0.7914792795753134,1.2863282439788375,0.7498398678511861,2.2066582775858237
clustered_choice_logit,item2,0.26254630282613245,0.08144233945576276,3.223707773875287,183,0.0014984873609043036,0.10185959668334019,0.4232330089689247,1.3002366714072175,1.1072280023301535,1.526890033592207
clustered_choice_logit,item3,-0.4850615889347549,0.11253549738164763,-4.3102985299806305,183,2.6592935824085117e-5,-0.7070954661445316,-0.2630277117249782,0.6156592777975112,0.49307427051976366,0.7687205944422938
clustered_choice_logit,item4,-0.9938586198214079,0.13802417429377567,-7.200612681848348,183,1.5043742284402914e-11,-1.2661819602798718,-0.7215352793629439,0.3701456804752447,0.28190589757381185,0.48600552863073393
clustered_choice_logit,item5,-1.7475756696332199,0.16737994506726664,-10.440770959333893,183,2.5742752882615727e-20,-2.0778182956057902,-1.4173330436606493,0.17419573997898544,0.12520307053138743,0.24235951800574465
clustered_choice_logit,item6,-2.4491503040191422,0.2195974614034165,-11.152908090863015,183,2.2604405652337933e-22,-2.882418711901759,-2.0158818961365257,0.08636694097308018,0.05599915308173709,0.13320288044642212
clustered_choice_logit,item7,-2.5900480092741445,0.22139328683491036,-11.69885521960521,183,5.7732034723307154e-24,-3.026859602130603,-2.153236416417686,0.07501643851411127,0.0484676069494878,0.11610777592560526
clustered_choice_logit,waveposttest:purposeimmediate_consumption,0.2364307841254157,0.27463389331194743,0.8608944120996089,183,0.3904227353318217,-0.30542515967931827,0.7782867279301497,1.2667198754617062,0.7368100458662009,2.17773800980599
clustered_choice_logit,waveposttest:purposefamily_support,0.5023920075011182,0.37873689284254164,1.3264934496623906,183,0.18632930783916077,-0.2448603947789031,1.2496444097811397,1.652669744854128,0.782813815509644,3.4891020462867135
clustered_choice_logit,waveposttest:purposelearning_or_education,-0.1692524623576588,0.4291487967077299,-0.3943910915190741,183,0.6937515474380166,-1.0159681516284005,0.6774632269130828,0.8442957235882911,0.36205173911819716,1.9688767981218296
clustered_choice_logit,waveposttest:purposefriends_or_gifts,9.025878258218038e-4,0.3031648172843875,0.0029772182468492713,183,0.9976277700050185,-0.5972452089263833,0.5990503845780268,1.0009029952807922,0.5503255818349132,1.8203893095825294
